2016-10-15T21:19:18.907Z - info: Redirecting to home page || anonymous user
2016-10-15T21:19:20.148Z - info: Displaying items for home page || anonymous user
2016-10-15T21:19:23.724Z - info: Redirecting to login page
2016-10-15T21:19:27.576Z - info: User logged in ||user_id :6
2016-10-15T21:19:27.616Z - info: Redirecting to home page || user_id :6
2016-10-15T21:19:28.367Z - info: Displaying items for home page || user_id :6
2016-10-15T21:19:34.154Z - info: Displaying my collection details || user_id :6
2016-10-15T21:19:35.096Z - info: Displaying  my collection details for order history || user_id :6
2016-10-15T21:19:38.774Z - info: Displaying  my collection details for selling history || user_id :6
2016-10-15T21:38:12.422Z - info: Redirecting to home page || anonymous user
2016-10-15T21:38:13.037Z - info: Displaying items for home page || anonymous user
2016-10-15T21:38:14.415Z - info: Redirecting to login page
2016-10-15T21:38:18.335Z - info: User logged in ||user_id :6
2016-10-15T21:38:18.361Z - info: Redirecting to home page || user_id :6
2016-10-15T21:38:18.840Z - info: Displaying items for home page || user_id :6
2016-10-15T21:38:20.876Z - info: Displaying my collection details || user_id :6
2016-10-15T21:38:21.547Z - info: Displaying  my collection details for order history || user_id :6
2016-10-15T21:38:30.835Z - info: Displaying  my collection details for selling history || user_id :6
2016-10-15T21:40:59.180Z - info: Redirecting to home page || anonymous user
2016-10-15T21:40:59.785Z - info: Displaying items for home page || anonymous user
2016-10-15T21:41:01.084Z - info: Redirecting to login page
2016-10-15T21:41:04.715Z - info: User logged in ||user_id :6
2016-10-15T21:41:04.744Z - info: Redirecting to home page || user_id :6
2016-10-15T21:41:05.292Z - info: Displaying items for home page || user_id :6
2016-10-15T21:41:06.969Z - info: Displaying my collection details || user_id :6
2016-10-15T21:41:07.527Z - info: Displaying  my collection details for order history || user_id :6
2016-10-15T21:41:10.689Z - info: Displaying  my collection details for selling history || user_id :6
2016-10-15T21:44:38.252Z - info: Redirecting to home page || anonymous user
2016-10-15T21:44:38.812Z - info: Displaying items for home page || anonymous user
2016-10-15T21:44:40.050Z - info: Redirecting to login page
2016-10-15T21:44:43.587Z - info: User logged in ||user_id :6
2016-10-15T21:44:43.612Z - info: Redirecting to home page || user_id :6
2016-10-15T21:44:44.079Z - info: Displaying items for home page || user_id :6
2016-10-15T21:44:59.944Z - info: Displaying my collection details || user_id :6
2016-10-15T21:45:00.511Z - info: Displaying  my collection details for order history || user_id :6
2016-10-15T21:45:05.820Z - info: Displaying  my collection details for selling history || user_id :6
2016-10-15T21:45:32.605Z - info: Redirecting to home page || anonymous user
2016-10-15T21:45:33.198Z - info: Displaying items for home page || anonymous user
2016-10-15T21:45:35.029Z - info: Redirecting to login page
2016-10-15T21:45:41.193Z - info: User logged in ||user_id :6
2016-10-15T21:45:41.264Z - info: Redirecting to home page || user_id :6
2016-10-15T21:45:42.201Z - info: Displaying items for home page || user_id :6
2016-10-15T21:45:42.823Z - info: Redirecting to sell page || user_id :6
2016-10-15T21:47:03.025Z - info: Redirecting to sell page || user_id :6
2016-10-15T21:51:30.499Z - info: Redirecting to home page || anonymous user
2016-10-15T21:51:31.121Z - info: Displaying items for home page || anonymous user
2016-10-15T21:51:33.399Z - info: Redirecting to login page
2016-10-15T21:51:37.457Z - info: User logged in ||user_id :6
2016-10-15T21:51:37.479Z - info: Redirecting to home page || user_id :6
2016-10-15T21:51:38.008Z - info: Displaying items for home page || user_id :6
2016-10-15T21:51:41.214Z - info: Displaying my collection details || user_id :6
2016-10-15T21:51:41.793Z - info: Displaying  my collection details for order history || user_id :6
2016-10-15T21:51:42.846Z - info: Redirecting to sell page || user_id :6
2016-10-15T21:52:24.202Z - info: storing item for sell page || user_id :6
2016-10-15T21:52:24.370Z - info: Inserting sell item for sell page || user_id :6
2016-10-15T21:52:24.374Z - info: Inserting sell item for seller data for sell page || user_id :6
2016-10-15T21:52:24.434Z - info: Redirecting to home page || user_id :6
2016-10-15T21:52:24.968Z - info: Displaying items for home page || user_id :6
2016-10-15T21:52:27.794Z - info: Displaying my collection details || user_id :6
2016-10-15T21:52:28.294Z - info: Displaying  my collection details for order history || user_id :6
2016-10-15T21:52:30.418Z - info: Displaying  my collection details for selling history || user_id :6
2016-10-15T21:58:51.182Z - info: Redirecting to home page || anonymous user
2016-10-15T21:58:51.769Z - info: Displaying items for home page || anonymous user
2016-10-15T21:58:53.267Z - info: Redirecting to login page
2016-10-15T21:58:57.509Z - info: User logged in ||user_id :6
2016-10-15T21:58:57.529Z - info: Redirecting to home page || user_id :6
2016-10-15T21:58:58.046Z - info: Displaying items for home page || user_id :6
2016-10-15T21:58:59.724Z - info: Displaying my collection details || user_id :6
2016-10-15T21:59:00.320Z - info: Displaying  my collection details for order history || user_id :6
2016-10-15T21:59:04.235Z - info: Displaying  my collection details for selling history || user_id :6
2016-10-15T22:00:07.609Z - info: User sigining out ||user_id :6
2016-10-15T22:00:07.632Z - info: Redirecting to home page || anonymous user
2016-10-15T22:00:08.162Z - info: Displaying items for home page || anonymous user
2016-10-15T22:00:09.047Z - info: Redirecting to login page
2016-10-15T22:00:12.589Z - info: User logged in ||user_id :5
2016-10-15T22:00:12.623Z - info: Redirecting to home page || user_id :5
2016-10-15T22:00:14.003Z - info: Displaying items for home page || user_id :5
2016-10-15T22:00:15.607Z - info: Displaying my collection details || user_id :5
2016-10-15T22:00:16.102Z - info: Displaying  my collection details for order history || user_id :5
2016-10-15T22:00:21.235Z - info: Displaying  my collection details for selling history || user_id :5
2016-10-15T22:02:21.335Z - info: Redirecting to home page || anonymous user
2016-10-15T22:02:21.927Z - info: Displaying items for home page || anonymous user
2016-10-15T22:02:23.207Z - info: Redirecting to login page
2016-10-15T22:02:26.954Z - info: User logged in ||user_id :5
2016-10-15T22:02:26.977Z - info: Redirecting to home page || user_id :5
2016-10-15T22:02:27.478Z - info: Displaying items for home page || user_id :5
2016-10-15T22:02:29.476Z - info: Displaying my collection details || user_id :5
2016-10-15T22:02:30.071Z - info: Displaying  my collection details for order history || user_id :5
2016-10-15T22:02:34.200Z - info: Displaying  my collection details for selling history || user_id :5
2016-10-15T22:02:49.155Z - info: Redirecting to home page || anonymous user
2016-10-15T22:02:49.752Z - info: Displaying items for home page || anonymous user
2016-10-15T22:02:53.075Z - info: Redirecting to login page
2016-10-15T22:02:56.890Z - info: User logged in ||user_id :6
2016-10-15T22:02:56.915Z - info: Redirecting to home page || user_id :6
2016-10-15T22:02:57.366Z - info: Displaying items for home page || user_id :6
2016-10-15T22:02:58.877Z - info: Displaying my collection details || user_id :6
2016-10-15T22:02:59.356Z - info: Displaying  my collection details for order history || user_id :6
2016-10-15T22:03:03.055Z - info: Displaying  my collection details for selling history || user_id :6
2016-10-15T22:05:32.135Z - info: Redirecting to home page || anonymous user
2016-10-15T22:05:32.731Z - info: Displaying items for home page || anonymous user
2016-10-15T22:05:34.084Z - info: Redirecting to login page
2016-10-15T22:05:44.677Z - info: User logged in ||user_id :6
2016-10-15T22:05:44.701Z - info: Redirecting to home page || user_id :6
2016-10-15T22:05:45.265Z - info: Displaying items for home page || user_id :6
2016-10-15T22:05:46.704Z - info: Redirecting to sell page || user_id :6
2016-10-15T22:06:35.984Z - info: Redirecting to sell page || user_id :6
2016-10-15T22:07:01.128Z - info: Redirecting to sell page || user_id :6
2016-10-15T22:07:18.252Z - info: Redirecting to sell page || user_id :6
2016-10-15T22:07:29.112Z - info: Redirecting to sell page || user_id :6
2016-10-15T22:15:29.666Z - info: Redirecting to sell page || user_id :6
2016-10-15T22:16:13.391Z - info: Redirecting to sell page || user_id :6
2016-10-15T22:17:39.446Z - info: Redirecting to home page || anonymous user
2016-10-15T22:17:40.069Z - info: Displaying items for home page || anonymous user
2016-10-15T22:17:42.776Z - info: Redirecting to login page
2016-10-15T22:17:46.696Z - info: User logged in ||user_id :6
2016-10-15T22:17:46.721Z - info: Redirecting to home page || user_id :6
2016-10-15T22:17:47.246Z - info: Displaying items for home page || user_id :6
2016-10-15T22:17:48.159Z - info: Redirecting to sell page || user_id :6
2016-10-15T22:18:39.643Z - info: Redirecting to sell page || user_id :6
2016-10-15T22:36:11.706Z - info: Redirecting to sell page || user_id :6
2016-10-15T22:36:53.261Z - info: Redirecting to sell page || user_id :6
2016-10-15T22:37:04.775Z - info: Redirecting to sell page || user_id :6
2016-10-15T22:37:21.336Z - info: Redirecting to sell page || user_id :6
2016-10-15T22:37:29.039Z - info: Redirecting to sell page || user_id :6
2016-10-15T22:37:41.451Z - info: User sigining out ||user_id :6
2016-10-15T22:37:41.461Z - info: Redirecting to home page || anonymous user
2016-10-15T22:37:42.007Z - info: Displaying items for home page || anonymous user
2016-10-15T23:00:14.948Z - info: Redirecting to home page || anonymous user
2016-10-15T23:01:13.135Z - info: Redirecting to home page || anonymous user
2016-10-15T23:04:12.760Z - info: Redirecting to home page || anonymous user
2016-10-15T23:05:24.984Z - info: Redirecting to home page || anonymous user
2016-10-15T23:08:38.841Z - info: Redirecting to home page || anonymous user
2016-10-15T23:08:59.516Z - info: Redirecting to home page || anonymous user
2016-10-15T23:09:30.472Z - info: Redirecting to home page || anonymous user
2016-10-15T23:12:29.346Z - info: Redirecting to home page || anonymous user
2016-10-15T23:13:00.400Z - info: Redirecting to home page || anonymous user
2016-10-15T23:13:42.884Z - info: Redirecting to home page || anonymous user
2016-10-15T23:14:59.583Z - info: Redirecting to home page || anonymous user
2016-10-15T23:15:30.670Z - info: Redirecting to home page || anonymous user
2016-10-15T23:16:22.334Z - info: Redirecting to home page || anonymous user
2016-10-15T23:16:23.004Z - info: Displaying items for home page || anonymous user
2016-10-15T23:16:29.804Z - info: Redirecting to login page
2016-10-15T23:16:33.715Z - info: User logged in ||user_id :6
2016-10-15T23:16:33.735Z - info: Redirecting to home page || user_id :6
2016-10-15T23:16:34.280Z - info: Displaying items for home page || user_id :6
2016-10-15T23:16:37.041Z - info: Redirecting to sell page || user_id :6
2016-10-15T23:17:17.624Z - info: storing item for sell page || user_id :6
2016-10-15T23:17:17.782Z - info: Inserting sell item for sell page || user_id :6
2016-10-15T23:18:05.886Z - info: Redirecting to home page || anonymous user
2016-10-15T23:18:06.550Z - info: Displaying items for home page || anonymous user
2016-10-15T23:18:07.469Z - info: Redirecting to login page
2016-10-15T23:18:10.412Z - info: User logged in ||user_id :6
2016-10-15T23:18:10.436Z - info: Redirecting to home page || user_id :6
2016-10-15T23:18:10.943Z - info: Displaying items for home page || user_id :6
2016-10-15T23:18:14.366Z - info: Redirecting to sell page || user_id :6
2016-10-15T23:18:35.723Z - info: storing item for sell page || user_id :6
2016-10-15T23:18:35.868Z - info: Inserting sell item for sell page || user_id :6
2016-10-15T23:18:35.875Z - info: Inserting sell item for seller data for sell page || user_id :6
2016-10-15T23:18:35.901Z - info: Redirecting to home page || user_id :6
2016-10-15T23:18:36.472Z - info: Displaying items for home page || user_id :6
2016-10-15T23:18:40.558Z - info: Displaying my collection details || user_id :6
2016-10-15T23:18:41.109Z - info: Displaying  my collection details for order history || user_id :6
2016-10-15T23:18:43.712Z - info: Displaying  my collection details for selling history || user_id :6
2016-10-15T23:18:49.884Z - info: Displaying  my collection details for selling history || user_id :6
2016-10-15T23:18:54.500Z - info: Redirecting to home page || user_id :6
2016-10-15T23:18:55.392Z - info: Displaying items for home page || user_id :6
2016-10-15T23:18:57.580Z - info: Redirecting to detail page || user_id :6
2016-10-15T23:18:58.174Z - info: Displaying items for detail page || user_id :6
2016-10-15T23:19:03.302Z - info: confirming order and redirecting to payment page || user_id :6
2016-10-15T23:19:03.415Z - info: Redirecting to payment page || user_id :6
2016-10-15T23:19:04.695Z - info: Displaying items for detail page || user_id :6
2016-10-15T23:19:12.325Z - info: Validating card for payment page || user_id :6
2016-10-15T23:19:12.326Z - info: Valid card || user_id :6
2016-10-15T23:19:34.014Z - info: placing order and redirecting to home page || user_id :6
2016-10-15T23:19:34.186Z - info: Redirecting to home page || user_id :6
2016-10-15T23:19:34.885Z - info: Displaying items for home page || user_id :6
2016-10-15T23:19:37.348Z - info: Redirecting to detail page || user_id :6
2016-10-15T23:19:38.036Z - info: Displaying items for detail page || user_id :6
2016-10-15T23:19:39.679Z - info: Item add to shopping cart page || user_id :6
2016-10-15T23:19:39.724Z - info: Item found for the same user to add to shopping cart page || user_id :6
2016-10-15T23:19:39.753Z - info: Redirecting to shopping cart page || user_id :6
2016-10-15T23:19:40.420Z - info: Fetching shopping cart items || user_id :6
2016-10-15T23:19:45.619Z - info: updating item in shopping cart || user_id :6
2016-10-15T23:19:49.009Z - info: updating item in shopping cart || user_id :6
