
2016-10-11T19:04:39.658Z - info: Redirecting to home page || anonymous user
2016-10-11T19:04:40.307Z - info: Displaying items for home page || anonymous user
2016-10-11T19:05:15.810Z - info: Redirecting to detail page || anonymous user
2016-10-11T19:05:16.450Z - info: Displaying items for detail page || anonymous user
2016-10-11T19:06:01.787Z - info: Redirecting to search page || anonymous user
2016-10-11T19:06:02.399Z - info: Displaying items for search page || anonymous user
2016-10-11T19:06:58.960Z - info: Redirecting to search page || anonymous user
2016-10-11T19:06:59.504Z - info: Displaying items for search page || anonymous user
2016-10-11T19:07:23.834Z - info: Redirecting to detail page || anonymous user
2016-10-11T19:07:24.496Z - info: Displaying items for detail page || anonymous user
2016-10-11T19:07:30.115Z - info: Redirecting to detail page || anonymous user
2016-10-11T19:07:30.680Z - info: Displaying items for detail page || anonymous user
2016-10-11T19:07:33.062Z - info: Redirecting to home page || anonymous user
2016-10-11T19:07:33.625Z - info: Displaying items for home page || anonymous user
2016-10-11T19:07:35.359Z - info: Redirecting to detail page || anonymous user
2016-10-11T19:07:36.002Z - info: Displaying items for detail page || anonymous user
2016-10-11T19:07:45.517Z - info: Redirecting to login page
2016-10-11T19:07:52.084Z - info: User logged in ||user_id :6
2016-10-11T19:07:52.107Z - info: Redirecting to home page || user_id :6
2016-10-11T19:07:52.669Z - info: Displaying items for home page || user_id :6
2016-10-11T19:07:53.692Z - info: Redirecting to detail page || user_id :6
2016-10-11T19:07:54.275Z - info: Displaying items for detail page || user_id :6
2016-10-11T19:07:56.047Z - info: confirming order and redirecting to payment page || user_id :6
2016-10-11T19:07:56.146Z - info: Redirecting to paymeny page || user_id :6
2016-10-11T19:07:56.905Z - info: Displaying items for detail page || user_id :6
2016-10-11T19:08:07.513Z - info: Validating card for payment page || user_id :6
2016-10-11T19:08:07.514Z - info: Valid card || user_id :6
2016-10-11T19:08:10.341Z - info: placing order and redirecting to home page || user_id :6
2016-10-11T19:08:10.507Z - info: Redirecting to home page || user_id :6
2016-10-11T19:08:11.072Z - info: Displaying items for home page || user_id :6
2016-10-11T19:09:44.460Z - info: Redirecting to home page || anonymous user
2016-10-11T19:09:45.059Z - info: Displaying items for home page || anonymous user
2016-10-11T19:09:47.250Z - info: Redirecting to login page
2016-10-11T19:09:51.340Z - info: User logged in ||user_id :5
2016-10-11T19:09:51.366Z - info: Redirecting to home page || user_id :5
2016-10-11T19:09:51.892Z - info: Displaying items for home page || user_id :5
2016-10-11T19:09:53.870Z - info: Redirecting to detail page || user_id :5
2016-10-11T19:09:54.431Z - info: Displaying items for detail page || user_id :5
2016-10-11T19:09:56.019Z - info: confirming order and redirecting to payment page || user_id :5
2016-10-11T19:09:56.103Z - info: Redirecting to paymeny page || user_id :5
2016-10-11T19:09:56.684Z - info: Displaying items for detail page || user_id :5
2016-10-11T19:10:06.566Z - info: Redirecting to detail page || anonymous user
2016-10-11T19:10:07.269Z - info: Displaying items for detail page || anonymous user
2016-10-11T19:10:08.445Z - info: Item add to shopping cart page || user_id :undefined
2016-10-11T19:10:08.500Z - info: No item for the same user hence inserting to shopping cart page || user_id :undefined
2016-10-11T19:12:22.877Z - info: Redirecting to home page || anonymous user
2016-10-11T19:12:23.504Z - info: Displaying items for home page || anonymous user
2016-10-11T19:12:25.279Z - info: Redirecting to login page
2016-10-11T19:12:30.076Z - info: User logged in ||user_id :6
2016-10-11T19:12:30.106Z - info: Redirecting to home page || user_id :6
2016-10-11T19:12:30.625Z - info: Displaying items for home page || user_id :6
2016-10-11T19:12:42.067Z - info: Redirecting to home page || anonymous user
2016-10-11T19:12:42.569Z - info: Displaying items for home page || anonymous user
2016-10-11T19:12:44.978Z - info: Redirecting to login page
2016-10-11T19:12:50.184Z - info: User logged in ||user_id :5
2016-10-11T19:12:50.205Z - info: Redirecting to home page || user_id :5
2016-10-11T19:12:50.623Z - info: Displaying items for home page || user_id :5
2016-10-11T19:12:52.809Z - info: Redirecting to detail page || user_id :5
2016-10-11T19:12:53.391Z - info: Displaying items for detail page || user_id :5
2016-10-11T19:12:58.688Z - info: Item add to shopping cart page || user_id :5
2016-10-11T19:12:58.692Z - info: No item for the same user hence inserting to shopping cart page || user_id :5
2016-10-11T19:12:58.799Z - info: Redirecting to shopping cart page || user_id :5
2016-10-11T19:12:59.313Z - info: Fetching shopping cart items || user_id :5
2016-10-11T19:13:02.511Z - info: confirming order and redirecting to payment page || user_id :5
